Name,Category,MealTime,Calories,Protein,Carbs,Fat,Fiber,SpiceLevel,IsVegetarian,PrepTime,Description,Ingredients,BMICategory,Reason,Cuisine
Genfo,Breakfast,Breakfast,280,8,50,6,3,None,Yes,20,Thick porridge served with spiced butter,"barley flour;water;kibbe;berbere",Underweight,High in carbs and healthy fats to help gain weight,Ethiopian
Chechebsa,Breakfast,Breakfast,350,8,42,16,3,Medium,Yes,25,Shredded flatbread with spiced butter,"flour;kibbe;berbere;sugar",Underweight,Calorie-dense breakfast to support weight gain,Ethiopian
Fatira,Breakfast,Breakfast,380,10,55,14,2,None,Yes,30,Layered fried bread with honey,"flour;eggs;butter;honey",Underweight,High calorie traditional bread for energy,Ethiopian
Kinche Be Kibbe,Breakfast,Breakfast,320,10,48,10,5,None,Yes,25,Cracked wheat with spiced butter,"cracked wheat;kibbe;cardamom",Underweight,Nutritious whole grain with healthy fats,Ethiopian
Atmit,Breakfast,Breakfast,220,6,40,4,3,None,Yes,15,Thick oat porridge drink,"oat flour;water;honey;milk",Underweight,Easy to digest calorie source for weight gain,Ethiopian
Enqulal Be Kibbe,Breakfast,Breakfast,340,16,12,26,1,Low,No,15,Eggs fried in spiced butter,"eggs;kibbe;onions;peppers",Underweight,High protein and fat for healthy weight gain,Ethiopian
Firfir,Breakfast,Breakfast,320,10,45,12,4,Medium,Yes,15,Shredded injera mixed with berbere sauce,"injera;berbere;onions;oil;tomatoes",Normal,Balanced meal with good carbs and moderate calories,Ethiopian
Ful Medames,Breakfast,Breakfast,290,14,40,8,10,Low,Yes,25,Spiced fava bean dish,"fava beans;onions;tomatoes;oil;cumin;garlic",Normal,High protein and fiber for sustained energy,Ethiopian
Kinche,Breakfast,Breakfast,250,9,45,4,5,None,Yes,20,Cracked wheat porridge with butter,"cracked wheat;butter;salt",Normal,Whole grain breakfast with balanced nutrition,Ethiopian
Enqulal Firfir,Breakfast,Breakfast,300,15,30,14,2,Medium,No,15,Scrambled eggs with injera pieces,"eggs;injera;onions;tomatoes;butter",Normal,High protein breakfast for muscle maintenance,Ethiopian
Enqulal Tibs,Breakfast,Breakfast,180,14,6,12,1,Low,No,10,Ethiopian scrambled eggs light version,"eggs;onions;tomatoes;peppers",Overweight,High protein low carb for weight control,Ethiopian
Kinche Light,Breakfast,Breakfast,180,8,32,3,5,None,Yes,20,Cracked wheat porridge without butter,"cracked wheat;water;salt",Overweight,Whole grain low fat breakfast option,Ethiopian
Oatmeal Plain,Breakfast,Breakfast,150,5,27,3,4,None,Yes,10,Simple oatmeal with water,"oats;water;cinnamon",Obese,Very low calorie filling breakfast,International
